areaCode,areaName,areaDefinition
423,Liechtenstein,Fürstentum Liechtenstein
43,Österreich,Republik Österreich
4301,Wien,Wien (Bundeshauptstadt der Republik Österreich und Bundesland in Österreich)
4302,Niederösterreich,Niederösterreich (Bundesland in Österreich)
4303,Oberösterreich,Oberösterreich (Bundesland in Österreich)
4304,Steiermark,Steiermark (Bundesland in Österreich)
4305,Tirol,Tirol (Bundesland in Österreich)
4306,Kärnten,Kärnten (Bundesland in Österreich)
4307,Salzburg,Land Salzburg (Bundesland in Österreich)
4308,Vorarlberg,Vorarlberg (Bundesland in Österreich)
4309,Burgenland,Burgenland (Bundesland in Österreich)
