areaCode,areaName,targetCode
41,Switzerland,CH
4101,Zurich,ZH
4102,Berne,BE
4103,Lucerne,LU
4104,Uri,UR
4105,Schwyz,SZ
4106,Obwald,OW
4107,Nidwald,NW
4108,Glaris,GL
4109,Zoug,ZG
4110,Friburg,FR
4111,Soleure,SO
4112,Basle-City,BS
4113,Basle-Country,BL
4114,Schaffhouse,SH
4115,Appenzell Outer-Rhodes,AR
4116,Appenzell Inner-Rhodes,AI
4117,St. Gall,SG
4118,Grisons,GR
4119,Argovia,AG
4120,Thurgovia,TG
4121,Tessin,TI
4122,Vaud,VD
4123,Wallis,VS
4124,Neuchâtel,NE
4125,Geneva,GE
4126,Jura,JU
423,Liechtenstein,FL
