areaCode,areaName,targetCode,targetCode2
4101,Zürich,ZH,41026
4102,Bern,BE,41004
4103,Luzern,LU,41012
4104,Uri,UR,41022
4105,Schwyz,SZ,41019
4106,Obwalden,OW,41015
4107,Nidwalden,NW,41014
4108,Glarus,GL,41009
4109,Zug,ZG,41025
4110,Fribourg,FR,41007
4111,Solothurn,SO,41018
4112,Basel-Stadt,BS,41006
4113,Basel-Landschaft,BL,41005
4114,Schaffhausen,SH,41017
4115,Appenzell Ausserrhoden,AR,41003
4116,Appenzell Innerrhoden,AI,41002
4117,St Gallen,SG,41016
4118,Graubünden,GR,41010
4119,Aargau,AG,41001
4120,Thurgau,TG,41020
4121,Ticino,TI,41021
4122,Vaud,VD,41023
4123,Valais,VS,41024
4124,Neuchâtel,NE,41013
4125,Genève,GE,41008
4126,Jura,JU,41011
