areaCode,areaName,targetCode
38601101,beltinci,SI-002
38601102,tišina,SI-010
38601103,črenšovci,SI-015
38601104,gornja_radgona,SI-029
38601105,gornji_petrovci,SI-031
38601106,šalovci,SI-033
38601107,kobilje,SI-047
38601108,kuzma,SI-056
38601109,lendava,SI-059
38601110,ljutomer,SI-063
38601111,moravske_toplice,SI-078
38601112,murska_sobota,SI-080
38601113,odranci,SI-086
38601114,puconci,SI-097
38601115,radenci,SI-100
38601116,rogašovci,SI-105
38601117,sveti_jurij_ob_ščavnici,SI-116
38601118,turnišče,SI-132
38601119,cankova,SI-152
38601120,dobrovnik,SI-156
38601121,grad,SI-158
38601122,hodoš,SI-161
38601123,križevci,SI-166
38601124,razkrižje,SI-176
38601125,velika_polana,SI-187
38601126,veržej,SI-188
38601127,apače,SI-195
38601201,destrnik,SI-018
38601202,dornava,SI-024
38601203,duplek,SI-026
38601204,gorišnica,SI-028
38601205,juršinci,SI-042
38601206,kidričevo,SI-045
38601207,kungota,SI-055
38601208,lenart,SI-058
38601209,majšperk,SI-069
38601210,maribor,SI-070
38601211,ormož,SI-087
38601212,pesnica,SI-089
38601213,ptuj,SI-096
38601214,rače-fram,SI-098
38601215,ruše,SI-108
38601216,slovenska_bistrica,SI-113
38601217,starše,SI-115
38601218,šentilj,SI-118
38601219,videm,SI-135
38601220,zavrč,SI-143
38601221,benedikt,SI-148
38601222,cerkvenjak,SI-153
38601223,hajdina,SI-159
38601224,hoče-slivnica,SI-160
38601225,lovrenc_na_pohorju,SI-167
38601226,markovci,SI-168
38601227,miklavž_na_dravskem_polju,SI-169
38601228,oplotnica,SI-171
38601229,podlehnik,SI-172
38601230,selnica_ob_dravi,SI-178
38601231,sveta_ana,SI-181
38601232,sveti_andraž_v_slovenskih_goricah,SI-182
38601233,trnovska_vas,SI-185
38601234,žetale,SI-191
38601235,cirkulane,SI-196
38601236,makole,SI-198
38601237,poljčane,SI-200
38601238,središče_ob_dravi,SI-202
38601239,sveta_trojica_v_slovenskih_goricah,SI-204
38601240,sveti_tomaž,SI-205
38601241,sveti_jurij_v_slovenskih_goricah,SI-210
38601301,črna_na_koroškem,SI-016
38601302,dravograd,SI-025
38601303,mežica,SI-074
38601304,mislinja,SI-076
38601305,muta,SI-081
38601306,podvelka,SI-093
38601307,radlje_ob_dravi,SI-101
38601308,ravne_na_koroškem,SI-103
38601309,slovenj_gradec,SI-112
38601310,vuzenica,SI-141
38601311,prevalje,SI-175
38601312,ribnica_na_pohorju,SI-177
38601401,celje,SI-011
38601402,gornji_grad,SI-030
38601403,kozje,SI-051
38601404,laško,SI-057
38601405,ljubno,SI-062
38601406,luče,SI-067
38601407,mozirje,SI-079
38601408,nazarje,SI-083
38601409,podčetrtek,SI-092
38601410,rogaška_slatina,SI-106
38601411,rogatec,SI-107
38601412,slovenske_konjice,SI-114
38601413,šentjur,SI-120
38601414,šmarje_pri_jelšah,SI-124
38601415,šmartno_ob_paki,SI-125
38601416,šoštanj,SI-126
38601417,štore,SI-127
38601418,velenje,SI-133
38601419,vitanje,SI-137
38601420,vojnik,SI-139
38601421,zreče,SI-144
38601422,braslovče,SI-151
38601423,dobje,SI-154
38601424,dobrna,SI-155
38601425,polzela,SI-173
38601426,prebold,SI-174
38601427,solčava,SI-180
38601428,tabor,SI-184
38601429,vransko,SI-189
38601430,žalec,SI-190
38601431,rečica_ob_savinji,SI-209
38601501,hrastnik,SI-034
38601502,litija,SI-060
38601503,trbovlje,SI-129
38601504,zagorje_ob_savi,SI-142
38601601,brežice,SI-009
38601602,krško,SI-054
38601603,radeče,SI-099
38601604,sevnica,SI-110
38601605,bistrica_ob_sotli,SI-149
38601606,kostanjevica_na_krki,SI-197
38601701,črnomelj,SI-017
38601702,kočevje,SI-048
38601703,loški_potok,SI-066
38601704,metlika,SI-073
38601705,novo_mesto,SI-085
38601706,osilnica,SI-088
38601707,ribnica,SI-104
38601708,semič,SI-109
38601709,šentjernej,SI-119
38601710,škocjan,SI-121
38601711,trebnje,SI-130
38601712,dolenjske_toplice,SI-157
38601713,kostel,SI-165
38601714,mirna_peč,SI-170
38601715,sodražica,SI-179
38601716,žužemberk,SI-193
38601717,mokronog-trebelno,SI-199
38601718,straža,SI-203
38601719,šmarješke_toplice,SI-206
38601720,šentrupert,SI-211
38601721,mirna,SI-212
38601801,cerknica,SI-013
38601802,ilirska_bistrica,SI-038
38601803,loška_dolina,SI-065
38601804,pivka,SI-091
38601805,postojna,SI-094
38601806,bloke,SI-150
38602101,borovnica,SI-005
38602102,brezovica,SI-008
38602103,dobrepolje,SI-020
38602104,dobrova-polhov_gradec,SI-021
38602105,dol_pri_ljubljani,SI-022
38602106,domžale,SI-023
38602107,grosuplje,SI-032
38602108,ig,SI-037
38602109,ivančna_gorica,SI-039
38602110,kamnik,SI-043
38602111,ljubljana,SI-061
38602112,logatec,SI-064
38602113,lukovica,SI-068
38602114,medvode,SI-071
38602115,mengeš,SI-072
38602116,moravče,SI-077
38602117,škofljica,SI-123
38602118,velike_lašče,SI-134
38602119,vodice,SI-138
38602120,vrhnika,SI-140
38602121,horjul,SI-162
38602122,komenda,SI-164
38602123,trzin,SI-186
38602124,šmartno_pri_litiji,SI-194
38602125,log-dragomer,SI-208
38602201,bled,SI-003
38602202,bohinj,SI-004
38602203,cerklje_na_gorenjskem,SI-012
38602204,gorenja_vas-poljane,SI-027
38602205,jesenice,SI-041
38602206,kranj,SI-052
38602207,kranjska_gora,SI-053
38602208,naklo,SI-082
38602209,preddvor,SI-095
38602210,radovljica,SI-102
38602211,šenčur,SI-117
38602212,škofja_loka,SI-122
38602213,tržič,SI-131
38602214,železniki,SI-146
38602215,žiri,SI-147
38602216,jezersko,SI-163
38602217,žirovnica,SI-192
38602218,gorje,SI-207
38602301,ajdovščina,SI-001
38602302,bovec,SI-006
38602303,brda,SI-007
38602304,cerkno,SI-014
38602305,idrija,SI-036
38602306,kanal,SI-044
38602307,kobarid,SI-046
38602308,miren-kostanjevica,SI-075
38602309,nova_gorica,SI-084
38602310,tolmin,SI-128
38602311,vipava,SI-136
38602312,šempeter-vrtojba,SI-183
38602313,renče-vogrsko,SI-201
38602401,divača,SI-019
38602402,hrpelje-kozina,SI-035
38602403,izola,SI-040
38602404,komen,SI-049
38602405,koper,SI-050
38602406,piran,SI-090
38602407,sežana,SI-111
38602408,ankaran,SI-213
