areaCodeChild,areaCodeParent,areaName
33,33,France
330,33,France métropolitaine
3301,330,Île-de-France
330101,3301,Paris
330102,3301,Seine-et-Marne
330103,3301,Yvelines
330104,3301,Essonne
330105,3301,Hauts-de-Seine
330106,3301,Seine-Saint-Denis
330107,3301,Val-de-Marne
330108,3301,Val-d'Oise
3302,330,Centre-Val de Loire
330201,3302,Cher
330202,3302,Eure-et-Loir
330203,3302,Indre
330204,3302,Indre-et-Loire
330205,3302,Loir-et-Cher
330206,3302,Loiret
3303,330,Bourgogne-Franche-Comté
330301,3303,Côte-d'Or
330302,3303,Doubs
330303,3303,Jura
330304,3303,Nièvre
330305,3303,Haute-Saône
330306,3303,Saône-et-Loire
330307,3303,Yonne
330308,3303,Territoire de Belfort
3304,330,Normandie
330401,3304,Calvados
330402,3304,Eure
330403,3304,Manche
330404,3304,Orne
330405,3304,Seine-Maritime
3305,330,Hauts-de-France
330501,3305,Aisne
330502,3305,Nord
330503,3305,Oise
330504,3305,Pas-de-Calais
330505,3305,Somme
3306,330,Grand Est
330601,3306,Ardennes
330602,3306,Aube
330603,3306,Marne
330604,3306,Haute-Marne
330605,3306,Meurthe-et-Moselle
330606,3306,Meuse
330607,3306,Moselle
330608,3306,Bas-Rhin
330609,3306,Haut-Rhin
330610,3306,Vosges
3307,330,Pays de la Loire
330701,3307,Loire-Atlantique
330702,3307,Maine-et-Loire
330703,3307,Mayenne
330704,3307,Sarthe
3308,330,Bretagne
330801,3308,Côtes-d'Armor
330802,3308,Finistère
330803,3308,Ille-et-Vilaine
330804,3308,Morbihan
3309,330,Nouvelle-Aquitaine
330901,3309,Charente
330902,3309,Charente-Maritime
330903,3309,Corrèze
330904,3309,Creuse
330905,3309,Dordogne
330906,3309,Gironde
330907,3309,Landes
330908,3309,Lot-et-Garonne
330909,3309,Pyrénées-Atlantiques
330910,3309,Deux-Sèvres
330911,3309,Vienne
330912,3309,Haute-Vienne
3310,330,Occitanie
331001,3310,Ariège
331002,3310,Aude
331003,3310,Aveyron
331004,3310,Gard
331005,3310,Haute-Garonne
331006,3310,Gers
331007,3310,Hérault
331008,3310,Lot
331009,3310,Lozère
331010,3310,Hautes-Pyrénées
331011,3310,Pyrénées-Orientales
331012,3310,Tarn
331013,3310,Tarn-et-Garonne
3311,330,Auvergne-Rhône-Alpes
331101,3311,Ain
331102,3311,Allier
331103,3311,Ardèche
331104,3311,Cantal
331105,3311,Drôme
331106,3311,Isère
331107,3311,Loire
331108,3311,Haute-Loire
331109,3311,Puy-de-Dôme
331110,3311,Rhône
3311101,331110,Métropole de Lyon
3311102,331110,Rhône (département)
331111,3311,Savoie
331112,3311,Haute-Savoie
3312,330,Provence-Alpes-Côte d'Azur
331201,3312,Vendée
331202,3312,Alpes-de-Haute-Provence
331203,3312,Hautes-Alpes
331204,3312,Alpes-Maritimes
331205,3312,Bouches-du-Rhône
331206,3312,Var
331207,3312,Vaucluse
3313,330,Corse
331301,3313,Corse-du-Sud
331302,3313,Haute-Corse
332,33,DROM
3321,332,Guadeloupe
3322,332,Martinique
3323,332,Guyane
3324,332,Réunion
3325,332,Mayotte
