areaCode,areaName,areaDefinition
378,San Marino,Repubblica di San Marino
37801,Acquaviva,Castello di Acquaviva (municipalità della Repubblica di San Marino)
37802,Borgo Maggiore,Castello di Borgo Maggiore (municipalità della Repubblica di San Marino)
37803,Chiesanuova,Castello di Chiesanuova (municipalità della Repubblica di San Marino)
37804,Domagnano,Castello di Domagnano (municipalità della Repubblica di San Marino)
37805,Faetano,Castello di Faetano (municipalità della Repubblica di San Marino)
37806,Fiorentino,Castello di Fiorentino (municipalità della Repubblica di San Marino)
37807,Montegiardino,Castello di Montegiardino (municipalità della Repubblica di San Marino)
37808,Città di San Marino,Città di San Marino (capitale della Repubblica di San Marino)
37809,Serravalle,Castello di Serravalle (municipalità della Repubblica di San Marino)
