areaCode,areaCodeParent,areaName
386,386,Slovenia
38601,386,Vzhodna Slovenija
386011,38601,Pomurska
38601101,386011,beltinci
38601102,386011,tišina
38601103,386011,črenšovci
38601104,386011,gornja_radgona
38601105,386011,gornji_petrovci
38601106,386011,šalovci
38601107,386011,kobilje
38601108,386011,kuzma
38601109,386011,lendava
38601110,386011,ljutomer
38601111,386011,moravske_toplice
38601112,386011,murska_sobota
38601113,386011,odranci
38601114,386011,puconci
38601115,386011,radenci
38601116,386011,rogašovci
38601117,386011,sveti_jurij_ob_ščavnici
38601118,386011,turnišče
38601119,386011,cankova
38601120,386011,dobrovnik
38601121,386011,grad
38601122,386011,hodoš
38601123,386011,križevci
38601124,386011,razkrižje
38601125,386011,velika_polana
38601126,386011,veržej
38601127,386011,apače
386012,38601,Podravska
38601201,386012,destrnik
38601202,386012,dornava
38601203,386012,duplek
38601204,386012,gorišnica
38601205,386012,juršinci
38601206,386012,kidričevo
38601207,386012,kungota
38601208,386012,lenart
38601209,386012,majšperk
38601210,386012,maribor
38601211,386012,ormož
38601212,386012,pesnica
38601213,386012,ptuj
38601214,386012,rače-fram
38601215,386012,ruše
38601216,386012,slovenska_bistrica
38601217,386012,starše
38601218,386012,šentilj
38601219,386012,videm
38601220,386012,zavrč
38601221,386012,benedikt
38601222,386012,cerkvenjak
38601223,386012,hajdina
38601224,386012,hoče-slivnica
38601225,386012,lovrenc_na_pohorju
38601226,386012,markovci
38601227,386012,miklavž_na_dravskem_polju
38601228,386012,oplotnica
38601229,386012,podlehnik
38601230,386012,selnica_ob_dravi
38601231,386012,sveta_ana
38601232,386012,sveti_andraž_v_slovenskih_goricah
38601233,386012,trnovska_vas
38601234,386012,žetale
38601235,386012,cirkulane
38601236,386012,makole
38601237,386012,poljčane
38601238,386012,središče_ob_dravi
38601239,386012,sveta_trojica_v_slovenskih_goricah
38601240,386012,sveti_tomaž
38601241,386012,sveti_jurij_v_slovenskih_goricah
386013,38601,Koroška
38601301,386013,črna_na_koroškem
38601302,386013,dravograd
38601303,386013,mežica
38601304,386013,mislinja
38601305,386013,muta
38601306,386013,podvelka
38601307,386013,radlje_ob_dravi
38601308,386013,ravne_na_koroškem
38601309,386013,slovenj_gradec
38601310,386013,vuzenica
38601311,386013,prevalje
38601312,386013,ribnica_na_pohorju
386014,38601,Savinjska
38601401,386014,celje
38601402,386014,gornji_grad
38601403,386014,kozje
38601404,386014,laško
38601405,386014,ljubno
38601406,386014,luče
38601407,386014,mozirje
38601408,386014,nazarje
38601409,386014,podčetrtek
38601410,386014,rogaška_slatina
38601411,386014,rogatec
38601412,386014,slovenske_konjice
38601413,386014,šentjur
38601414,386014,šmarje_pri_jelšah
38601415,386014,šmartno_ob_paki
38601416,386014,šoštanj
38601417,386014,štore
38601418,386014,velenje
38601419,386014,vitanje
38601420,386014,vojnik
38601421,386014,zreče
38601422,386014,braslovče
38601423,386014,dobje
38601424,386014,dobrna
38601425,386014,polzela
38601426,386014,prebold
38601427,386014,solčava
38601428,386014,tabor
38601429,386014,vransko
38601430,386014,žalec
38601431,386014,rečica_ob_savinji
386015,38601,Zasavska
38601501,386015,hrastnik
38601502,386015,litija
38601503,386015,trbovlje
38601504,386015,zagorje_ob_savi
386016,38601,Posavska
38601601,386016,brežice
38601602,386016,krško
38601603,386016,radeče
38601604,386016,sevnica
38601605,386016,bistrica_ob_sotli
38601606,386016,kostanjevica_na_krki
386017,38601,Jugovzhodna Slovenija
38601701,386017,črnomelj
38601702,386017,kočevje
38601703,386017,loški_potok
38601704,386017,metlika
38601705,386017,novo_mesto
38601706,386017,osilnica
38601707,386017,ribnica
38601708,386017,semič
38601709,386017,šentjernej
38601710,386017,škocjan
38601711,386017,trebnje
38601712,386017,dolenjske_toplice
38601713,386017,kostel
38601714,386017,mirna_peč
38601715,386017,sodražica
38601716,386017,žužemberk
38601717,386017,mokronog-trebelno
38601718,386017,straža
38601719,386017,šmarješke_toplice
38601720,386017,šentrupert
38601721,386017,mirna
386018,38601,Primorsko-notranjska
38601801,386018,cerknica
38601802,386018,ilirska_bistrica
38601803,386018,loška_dolina
38601804,386018,pivka
38601805,386018,postojna
38601806,386018,bloke
38602,386,Zahodna Slovenija
386021,38602,Osrednjeslovenska
38602101,386021,borovnica
38602102,386021,brezovica
38602103,386021,dobrepolje
38602104,386021,dobrova-polhov_gradec
38602105,386021,dol_pri_ljubljani
38602106,386021,domžale
38602107,386021,grosuplje
38602108,386021,ig
38602109,386021,ivančna_gorica
38602110,386021,kamnik
38602111,386021,ljubljana
38602112,386021,logatec
38602113,386021,lukovica
38602114,386021,medvode
38602115,386021,mengeš
38602116,386021,moravče
38602117,386021,škofljica
38602118,386021,velike_lašče
38602119,386021,vodice
38602120,386021,vrhnika
38602121,386021,horjul
38602122,386021,komenda
38602123,386021,trzin
38602124,386021,šmartno_pri_litiji
38602125,386021,log-dragomer
386022,38602,Gorenjska
38602201,386022,bled
38602202,386022,bohinj
38602203,386022,cerklje_na_gorenjskem
38602204,386022,gorenja_vas-poljane
38602205,386022,jesenice
38602206,386022,kranj
38602207,386022,kranjska_gora
38602208,386022,naklo
38602209,386022,preddvor
38602210,386022,radovljica
38602211,386022,šenčur
38602212,386022,škofja_loka
38602213,386022,tržič
38602214,386022,železniki
38602215,386022,žiri
38602216,386022,jezersko
38602217,386022,žirovnica
38602218,386022,gorje
386023,38602,Goriška
38602301,386023,ajdovščina
38602302,386023,bovec
38602303,386023,brda
38602304,386023,cerkno
38602305,386023,idrija
38602306,386023,kanal
38602307,386023,kobarid
38602308,386023,miren-kostanjevica
38602309,386023,nova_gorica
38602310,386023,tolmin
38602311,386023,vipava
38602312,386023,šempeter-vrtojba
38602313,386023,renče-vogrsko
386024,38602,Obalno-kraška
38602401,386024,divača
38602402,386024,hrpelje-kozina
38602403,386024,izola
38602404,386024,komen
38602405,386024,koper
38602406,386024,piran
38602407,386024,sežana
38602408,386024,ankaran
