areaCode,areaID,populationSize,surfaceArea
38601101,beltinci,8044,6200
38601102,tisina,3953,3900
38601103,crensovci,3995,3400
38601104,gornja_radgona,8439,7500
38601105,gornji_petrovci,2000,6700
38601106,salovci,1381,5800
38601107,kobilje,540,2000
38601108,kuzma,1581,2300
38601109,lendava,10474,12100
38601110,ljutomer,11233,10700
38601111,moravske_toplice,5879,14500
38601112,murska_sobota,18684,6400
38601113,odranci,1630,700
38601114,puconci,5861,10800
38601115,radenci,5132,3400
38601116,rogasovci,3046,4000
38601117,sveti_jurij_ob_scavnici,2789,5100
38601118,turnisce,3193,2400
38601119,cankova,1746,3100
38601120,dobrovnik,1273,3100
38601121,grad,2055,3700
38601122,hodos,355,1800
38601123,krizevci,3542,4600
38601124,razkrizje,1296,1000
38601125,velika_polana,1391,1900
38601126,verzej,1344,1200
38601127,apace,3541,5400
38601201,destrnik,2640,3400
38601202,dornava,2910,2800
38601203,duplek,6978,4000
38601204,gorisnica,4152,2900
38601205,jursinci,2397,3600
38601206,kidricevo,6526,7200
38601207,kungota,4796,4900
38601208,lenart,8532,6200
38601209,majsperk,4042,7300
38601210,maribor,112395,14800
38601211,ormoz,11916,14200
38601212,pesnica,7457,7600
38601213,ptuj,23636,6700
38601214,race_fram,7549,5100
38601215,ruse,7002,6100
38601216,slovenska_bistrica,25890,26000
38601217,starse,4034,3400
38601218,sentilj,8324,6500
38601219,videm,5680,8000
38601220,zavrc,1485,1900
38601221,benedikt,2611,2400
38601222,cerkvenjak,2170,2500
38601223,hajdina,3905,2200
38601224,hoce_slivnica,11721,5400
38601225,lovrenc_na_pohorju,2982,8400
38601226,markovci,4019,3000
38601227,miklavz_na_dravskem_polju,6980,1300
38601228,oplotnica,4146,3300
38601229,podlehnik,1825,4600
38601230,selnica_ob_dravi,4579,6500
38601231,sveta_ana,2298,3700
38601232,sveti_andraz_v_slovenskih_goricah,1184,1800
38601233,trnovska_vas,1368,2300
38601234,zetale,1311,3800
38601235,cirkulane,2374,3200
38601236,makole,2042,3700
38601237,poljcane,4469,3800
38601238,sredisce_ob_dravi,1921,3300
38601239,sveta_trojica_v_slovenskih_goricah,2161,2600
38601240,sveti_tomaz,2007,3800
38601241,sveti_jurij_v_slovenskih_goricah,2096,3100
38601301,crna_na_koroskem,3271,15600
38601302,dravograd,8891,10500
38601303,mezica,3596,2600
38601304,mislinja,4567,11200
38601305,muta,3415,3900
38601306,podvelka,2354,10400
38601307,radlje_ob_dravi,6178,9400
38601308,ravne_na_koroskem,11343,6300
38601309,slovenj_gradec,16609,17400
38601310,vuzenica,2655,5000
38601311,prevalje,6829,5800
38601312,ribnica_na_pohorju,1127,5900
38601401,celje,49069,9500
38601402,gornji_grad,2490,9000
38601403,kozje,3010,9000
38601404,lasko,13085,19800
38601405,ljubno,2564,7900
38601406,luce,1444,11000
38601407,mozirje,4216,5400
38601408,nazarje,2650,4300
38601409,podcetrtek,3529,6100
38601410,rogaska_slatina,11210,7200
38601411,rogatec,3105,4000
38601412,slovenske_konjice,15161,9800
38601413,sentjur,19333,22200
38601414,smarje_pri_jelsah,10243,10800
