areaCode,areaName,areaDefinition
38601101,Beltinci,Beltinci
38601102,Tišina,Tišina
38601103,Črenšovci,Črenšovci
38601104,Gornja Radgona,Gornja Radgona
38601105,Gornji Petrovci,Gornji Petrovci
38601106,Šalovci,Šalovci
38601107,Kobilje,Kobilje
38601108,Kuzma,Kuzma
38601109,Lendava,Lendava
38601110,Ljutomer,Ljutomer
38601111,Moravske Toplice,Moravske Toplice
38601112,Murska Sobota,Murska Sobota
38601113,Odranci,Odranci
38601114,Puconci,Puconci
38601115,Radenci,Radenci
38601116,Rogašovci,Rogašovci
38601117,Sveti Jurij ob Ščavnici,Sveti Jurij ob Ščavnici
38601118,Turnišče,Turnišče
38601119,Cankova,Cankova
38601120,Dobrovnik,Dobrovnik
38601121,Grad,Grad
38601122,Hodoš,Hodoš
38601123,Križevci,Križevci
38601124,Razkrižje,Razkrižje
38601125,Velika Polana,Velika Polana
38601126,Veržej,Veržej
38601127,Apače,Apače
38601201,Destrnik,Destrnik
38601202,Dornava,Dornava
38601203,Duplek,Duplek
38601204,Gorišnica,Gorišnica
38601205,Juršinci,Juršinci
38601206,Kidričevo,Kidričevo
38601207,Kungota,Kungota
38601208,Lenart,Lenart
38601209,Majšperk,Majšperk
38601210,Maribor,Maribor
38601211,Ormož,Ormož
38601212,Pesnica,Pesnica
38601213,Ptuj,Ptuj
38601214,Rače - Fram,Rače - Fram
38601215,Ruše,Ruše
38601216,Slovenska Bistrica,Slovenska Bistrica
38601217,Starše,Starše
38601218,Šentilj,Šentilj
38601219,Videm,Videm
38601220,Zavrč,Zavrč
38601221,Benedikt,Benedikt
38601222,Cerkvenjak,Cerkvenjak
38601223,Hajdina,Hajdina
38601224,Hoče - Slivnica,Hoče - Slivnica
38601225,Lovrenc na Pohorju,Lovrenc na Pohorju
38601226,Markovci,Markovci
38601227,Miklavž na Dravskem polju,Miklavž na Dravskem polju
38601228,Oplotnica,Oplotnica
38601229,Podlehnik,Podlehnik
38601230,Selnica ob Dravi,Selnica ob Dravi
38601231,Sveta Ana,Sveta Ana
38601232,Sveti Andraž v Slov. goricah,Sveti Andraž v Slov. goricah
38601233,Trnovska vas,Trnovska vas
38601234,Žetale,Žetale
38601235,Cirkulane,Cirkulane
38601236,Makole,Makole
38601237,Poljčane,Poljčane
38601238,Središče ob Dravi,Središče ob Dravi
38601239,Sveta Trojica v Slov. goricah,Sveta Trojica v Slov. goricah
38601240,Sveti Tomaž,Sveti Tomaž
38601241,Sveti Jurij v Slov. goricah,Sveti Jurij v Slov. goricah
38601301,Črna na Koroškem,Črna na Koroškem
38601302,Dravograd,Dravograd
38601303,Mežica,Mežica
38601304,Mislinja,Mislinja
38601305,Muta,Muta
38601306,Podvelka,Podvelka
38601307,Radlje ob Dravi,Radlje ob Dravi
38601308,Ravne na Koroškem,Ravne na Koroškem
38601309,Slovenj Gradec,Slovenj Gradec
38601310,Vuzenica,Vuzenica
38601311,Prevalje,Prevalje
38601312,Ribnica na Pohorju,Ribnica na Pohorju
38601401,Celje,Celje
38601402,Gornji Grad,Gornji Grad
38601403,Kozje,Kozje
38601404,Laško,Laško
38601405,Ljubno,Ljubno
38601406,Luče,Luče
38601407,Mozirje,Mozirje
38601408,Nazarje,Nazarje
38601409,Podčetrtek,Podčetrtek
38601410,Rogaška Slatina,Rogaška Slatina
38601411,Rogatec,Rogatec
38601412,Slovenske Konjice,Slovenske Konjice
38601413,Šentjur,Šentjur
38601414,Šmarje pri Jelšah,Šmarje pri Jelšah
38601415,Šmartno ob Paki,Šmartno ob Paki
38601416,Šoštanj,Šoštanj
38601417,Štore,Štore
38601418,Velenje,Velenje
38601419,Vitanje,Vitanje
38601420,Vojnik,Vojnik
38601421,Zreče,Zreče
38601422,Braslovče,Braslovče
38601423,Dobje,Dobje
38601424,Dobrna,Dobrna
38601425,Polzela,Polzela
38601426,Prebold,Prebold
38601427,Solčava,Solčava
38601428,Tabor,Tabor
38601429,Vransko,Vransko
38601430,Žalec,Žalec
38601431,Rečica ob Savinji,Rečica ob Savinji
38601501,Hrastnik,Hrastnik
38601502,Litija,Litija
38601503,Trbovlje,Trbovlje
38601504,Zagorje ob Savi,Zagorje ob Savi
38601601,Brežice,Brežice
38601602,Krško,Krško
38601603,Radeče,Radeče
38601604,Sevnica,Sevnica
38601605,Bistrica ob Sotli,Bistrica ob Sotli
38601606,Kostanjevica na Krki,Kostanjevica na Krki
38601701,Črnomelj,Črnomelj
38601702,Kočevje,Kočevje
38601703,Loški Potok,Loški Potok
38601704,Metlika,Metlika
38601705,Novo mesto,Novo mesto
38601706,Osilnica,Osilnica
38601707,Ribnica,Ribnica
38601708,Semič,Semič
38601709,Šentjernej,Šentjernej
38601710,Škocjan,Škocjan
38601711,Trebnje,Trebnje
38601712,Dolenjske Toplice,Dolenjske Toplice
38601713,Kostel,Kostel
38601714,Mirna Peč,Mirna Peč
38601715,Sodražica,Sodražica
38601716,Žužemberk,Žužemberk
38601717,Mokronog - Trebelno,Mokronog - Trebelno
38601718,Straža,Straža
38601719,Šmarješke Toplice,Šmarješke Toplice
38601720,Šentrupert,Šentrupert
38601721,Mirna,Mirna
38601801,Cerknica,Cerknica
38601802,Ilirska Bistrica,Ilirska Bistrica
38601803,Loška dolina,Loška dolina
38601804,Pivka,Pivka
38601805,Postojna,Postojna
38601806,Bloke,Bloke
38602101,Borovnica,Borovnica
38602102,Brezovica,Brezovica
38602103,Dobrepolje,Dobrepolje
38602104,Dobrova - Polhov Gradec,Dobrova - Polhov Gradec
38602105,Dol pri Ljubljani,Dol pri Ljubljani
38602106,Domžale,Domžale
38602107,Grosuplje,Grosuplje
38602108,Ig,Ig
38602109,Ivančna Gorica,Ivančna Gorica
38602110,Kamnik,Kamnik
38602111,Ljubljana,Ljubljana
38602112,Logatec,Logatec
38602113,Lukovica,Lukovica
38602114,Medvode,Medvode
38602115,Mengeš,Mengeš
38602116,Moravče,Moravče
38602117,Škofljica,Škofljica
38602118,Velike Lašče,Velike Lašče
38602119,Vodice,Vodice
38602120,Vrhnika,Vrhnika
38602121,Horjul,Horjul
38602122,Komenda,Komenda
38602123,Trzin,Trzin
38602124,Šmartno pri Litiji,Šmartno pri Litiji
38602125,Log - Dragomer,Log - Dragomer
38602201,Bled,Bled
38602202,Bohinj,Bohinj
38602203,Cerklje na Gorenjskem,Cerklje na Gorenjskem
38602204,Gorenja vas - Poljane,Gorenja vas - Poljane
38602205,Jesenice,Jesenice
38602206,Kranj,Kranj
38602207,Kranjska Gora,Kranjska Gora
38602208,Naklo,Naklo
38602209,Preddvor,Preddvor
38602210,Radovljica,Radovljica
38602211,Šenčur,Šenčur
38602212,Škofja Loka,Škofja Loka
38602213,Tržič,Tržič
38602214,Železniki,Železniki
38602215,Žiri,Žiri
38602216,Jezersko,Jezersko
38602217,Žirovnica,Žirovnica
38602218,Gorje,Gorje
38602301,Ajdovščina,Ajdovščina
38602302,Bovec,Bovec
38602303,Brda,Brda
38602304,Cerkno,Cerkno
38602305,Idrija,Idrija
38602306,Kanal,Kanal
38602307,Kobarid,Kobarid
38602308,Miren - Kostanjevica,Miren - Kostanjevica
38602309,Nova Gorica,Nova Gorica
38602310,Tolmin,Tolmin
38602311,Vipava,Vipava
38602312,Šempeter - Vrtojba,Šempeter - Vrtojba
38602313,Renče - Vogrsko,Renče - Vogrsko
38602401,Divača,Divača
38602402,Hrpelje - Kozina,Hrpelje - Kozina
38602403,Izola,Izola
38602404,Komen,Komen
38602405,Koper,Koper
38602406,Piran,Piran
38602407,Sežana,Sežana
38602408,Ankaran,Ankaran
