areaCode,areaName,populationSize,surfaceArea
41,Switzerland,8606033,41291
4101,Zürich,1539275,1729
4102,Bern,1039474,596
4103,Luzern,413120,1494
4104,Uri,36703,1077
4105,Schwyz,160480,908
4106,Obwalden,37930,491
4107,Nidwalden,43087,276
4108,Glarus,40590,685
4109,Zug,127642,239
4110,Fribourg,321783,1671
4111,Solothurn,275247,790
4112,Basel-Stadt,201469,37
4113,Basel-Landschaft,290765,518
4114,Schaffhausen,82348,298
4115,Appenzell Ausserrhoden,55445,243
4116,Appenzell Innerrhoden,16128,172
4117,St Gallen,510734,2031
4118,Graubünden,199021,7105
4119,Aargau,685845,1404
4120,Thurgau,279547,992
4121,Ticino,351491,2812
4122,Vaud,805098,3212
4123,Valais,345525,5224
4124,Neuchâtel,176496,802
4125,Genève,504128,282
4126,Jura (CH),73584,839
