areaCode,areaName,areaDefinition
41,Switzerland,Swiss Confederation
4101,Zurich,Canton of Zürich
4102,Berne,Canton of Berne
4103,Lucerne,Canton of Lucerne
4104,Uri,Canton of Uri
4105,Schwyz,Canton of Schwyz
4106,Obwald,Obwalden
4107,Nidwald,Nidwalden
4108,Glaris,Canton of Glaris
4109,Zoug,Canton of Zug
4110,Friburg,Canton of Friburg
4111,Soleure,Canton of Soleure
4112,Basle-City,Canton of Basle-Stadt
4113,Basle-Country,Canton of Basle-Landschaft
4114,Schaffhouse,Canton of Schaffhouse
4115,Appenzell Outer-Rhodes,Canton of Appenzell Outer-Rhodes
4116,Appenzell Inner-Rhodes,Canton of Appenzell Inner-Rhodes
4117,St. Gall,Canton of St. Gall
4118,Grisons,Canton of the Grisons
4119,Argovia,Canton of Aargau
4120,Thurgovia,Canton of Thurgau
4121,Tessin,Republic and Canton of Ticino
4122,Vaud,Canton of Vaud
4123,Wallis,Canton of Valais
4124,Neuchâtel,Republic and Canton of Neuchâtel
4125,Geneva,Republic and Canton of Geneva
4126,Jura,Republic and Canton of Jura
