areaCode,areaName,areaDefinition
43,Austria,Republica d'Austria
4301,Vienna,Vienna (Capitale Stato federato dell'Austria)
4302,Bassa Austria,Bassa Austria (Stato federato dell'Austria)
4303,Alta Austria,Alta Austria (Stato federato dell'Austria)
4304,Stiria,Stiria (Stato federato dell'Austria)
4305,Tirolo,Tirolo (Stato federato dell'Austria)
4306,Carinzia,Carinzia (Stato federato dell'Austria)
4307,Salisburghese,Salisburghese (Stato federato dell'Austria)
4308,Vorarlberg,Vorarlberg (Stato federato dell'Austria)
4309,Burgenland,Burgenland (Stato federato dell'Austria)
